"Date","Price","Open","High","Low","Vol","Change","Problemas","Paises"
"Aug 02, 2020","368.23","387.15","415.08","335.76","1678000","-4.88","True","Bélgica"
"Aug 01, 2020","387.14","346.48","392.37","343.33","1103000","11.73","True","Bélgica"
"Jul 31, 2020","346.51","334.84","349.34","329.02","869000","3.48","False","Francia"
"Jul 30, 2020","334.87","317.79","341.11","314.83","907000","5.36","False","Inglaterra"
"Jul 29, 2020","317.82","316.95","324.93","312.64","872000","0.27","False","Alemania"
"Jul 28, 2020","316.96","321.82","326.53","306.40","991000","-1.50","False","España"
"Jul 27, 2020","321.80","311.12","332.57","311.04","1373000","3.43","False","Alemania"
"Jul 26, 2020","311.13","305.32","318.54","300.33","919000","1.90","True","Inglaterra"
"Jul 25, 2020","305.32","279.33","308.57","279.33","859000","9.30","True","Francia"
"Jul 24, 2020","279.33","275.33","287.01","268.54","717000","1.45","True","Croacia"
"Jul 23, 2020","275.34","263.29","279.53","260.70","879000","4.58","True","España"
"Jul 22, 2020","263.28","245.54","266.42","241.89","668000","7.23","True","Croacia"
"Jul 21, 2020","245.53","236.10","246.49","235.67","629000","3.99","False","Croacia"
"Jul 20, 2020","236.10","239.03","239.71","234.51","536000","-1.22","True","Bélgica"
"Jul 19, 2020","239.01","235.72","239.70","233.35","661000","1.38","False","Croacia"
"Jul 18, 2020","235.75","232.77","236.83","232.40","579000","1.29","True","Alemania"
"Jul 17, 2020","232.75","233.65","234.53","231.84","588000","-0.39","False","España"
"Jul 16, 2020","233.65","238.62","239.47","230.44","663000","-2.08","False","Croacia"
"Jul 15, 2020","238.62","240.49","241.36","237.04","735000","-0.78","False","Alemania"
"Jul 14, 2020","240.50","239.75","242.08","237.21","707000","0.32","False","Croacia"
"Jul 13, 2020","239.73","242.84","245.04","237.71","832000","-1.24","False","España"
"Jul 12, 2020","242.75","239.20","243.79","236.91","681000","1.48","False","Francia"
"Jul 11, 2020","239.20","241.21","241.64","237.76","6420000","-0.85","False","Alemania"
"Jul 10, 2020","241.26","242.01","242.17","236.19","6840000","-0.32","False","Inglaterra"
"Jul 09, 2020","242.02","246.93","247.63","238.28","902000","-2.01","False","Inglaterra"
"Jul 08, 2020","246.99","239.26","248.76","238.00","1298000","3.24","False","Croacia"
"Jul 07, 2020","239.25","241.56","243.43","234.92","6260000","-0.95","False","Croacia"
"Jul 06, 2020","241.56","227.95","241.64","227.10","9450000","5.96","False","Bélgica"
"Jul 05, 2020","227.98","229.09","229.80","223.79","5410000","-0.51","False","Croacia"
"Jul 04, 2020","229.15","225.09","230.40","224.80","545000","1.79","False","Francia"
"Jul 03, 2020","225.12","226.42","228.14","224.77","520000","-0.57","False","Francia"
"Jul 02, 2020","226.42","230.96","232.04","223.53","728000","-1.96","False","Alemania"
"Jul 01, 2020","230.95","225.61","232.47","224.33","631000","2.36","False","Croacia"
"Jun 30, 2020","225.63","227.88","228.57","223.23","560000","-0.99","False","España"
"Jun 29, 2020","227.87","225.09","229.83","221.60","680000","1.24","False","Croacia"
"Jun 28, 2020","225.09","221.07","227.74","218.46","591000","1.82","False","Alemania"
"Jun 27, 2020","221.06","229.72","231.30","217.11","721000","-3.75","False","Bélgica"
"Jun 26, 2020","229.67","232.57","233.50","228.16","696000","-1.24","False","Croacia"
"Jun 25, 2020","232.56","234.75","235.29","227.99","648000","-0.93","True","Venezuela"
"Jun 24, 2020","234.75","243.20","249.23","231.56","913000","-3.47","False","Inglaterra"
"Jun 23, 2020","243.20","243.24","244.77","240.94","516000","-0.02","False","España"
"Jun 22, 2020","243.25","228.11","246.39","227.69","793000","6.63","False","Croacia"
"Jun 21, 2020","228.13","228.87","231.18","227.38","410000","-0.32","False","Alemania"
"Jun 20, 2020","228.86","229.11","230.96","226.28","454000","-0.11","False","Bélgica"
"Jun 19, 2020","229.11","231.34","231.94","226.97","556000","-0.97","False","Croacia"
"Jun 18, 2020","231.34","233.85","234.69","228.13","496000","-1.09","False","Alemania"
"Jun 17, 2020","233.88","235.37","236.55","228.63","594000","-0.63","False","Croacia"
"Jun 16, 2020","235.36","230.92","235.95","228.99","703000","1.92","False","Inglaterra"
"Jun 15, 2020","230.93","231.99","233.34","219.06","1018000","-0.47","False","Inglaterra"
"Jun 14, 2020","232.02","238.23","238.48","230.52","578000","-2.60","False","Croacia"
"Jun 13, 2020","238.22","237.55","238.61","234.86","527000","0.29","False","Alemania"
"Jun 12, 2020","237.54","230.72","239.23","228.62","734000","2.96","False","Bélgica"
"Jun 11, 2020","230.71","247.79","249.77","227.01","1240000","-6.89","True","Bélgica"
"Jun 10, 2020","247.78","243.82","249.51","242.54","763000","1.62","False","España"
